SMILES,vbur_far_vtot_boltz
P(c1ccc(N(C)C)cc1N(C)C)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1ccc(N(C)C)cc1N(C)C),24.518188
P(c1ccccc1C)(c1ccccc1N(C)C)(c1ccccc1C),16.296885
P(c1ccccc1)(n1nc(-c2ccccc2)cc1-c1ccccc1)(c1ccccc1),25.349787
P(c1ccccc1)(N1CCCCC1)(c1ccccc1),1.3562716
P(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1nn(-c2ccccc2)cc1)(c1nn(-c2ccccc2)c(-c2ccccc2)c1),54.574795
P(c1ccccc1)(n1nc(-c2ccccc2)cc1-c1ccccc1)(c1ccccc1),25.349787
P(c1c(OC)cccc1OC)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1c(OC)cccc1OC),28.255621
P(c1nn(-c2ccccc2)cc1)(c1ccccc1N(C)C)(c1nn(-c2ccccc2)cc1),57.747005
P(c1c(OCC)cccc1OCC)(c1nn(-c2ccccc2)cc1)(c1c(OCC)cccc1OCC),27.140778
P(c1c(OC)cccc1OC)(c1ccccc1N1CCCCC1)(c1c(OC)cccc1OC),53.160126
P(c1ccc(-c2ccccc2)cc1)(c1ccccc1)(c1ccc(-c2ccccc2)cc1),-0.42913306
P(c1cccc(OC(C)C)c1)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1cccc(OC(C)C)c1),32.086933
P(c1c(OCC)cccc1OCC)(c1ccccc1C)(c1c(OCC)cccc1OCC),16.379313
P(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1ccccc1)(c1nn(-c2ccccc2)c(-c2ccccc2)c1),27.125608
P(c1ccccc1)(c1ccc(-c2ccccc2)cc1)(c1ccccc1),-0.42913306
P(c1c(OC)cccc1OC)(c1ccncc1)(c1c(OC)cccc1OC),15.038498
P(c1ccccc1)(c1c2ccccc2cc2ccccc12)(c1ccccc1),29.642311
P(c1ccccc1)(c1nn(-c2ccccc2)cc1)(c1ccccc1),15.101841
P(c1ccc(N(C)C)cc1N(C)C)(c1c(N(C)C)cccc1N(C)C)(c1ccc(N(C)C)cc1N(C)C),16.780952
CN(C1=C(C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2)C(OC)=CC=C1)C,78.36814
P(c1cccc(OC(C)C)c1)(c1ccncc1)(c1cccc(OC(C)C)c1),4.824311
P(c1cccc(OC(C)C)c1)(c1nn(-c2ccccc2)cc1)(c1cccc(OC(C)C)c1),27.56399
P(c1cccc(OC(C)C)c1)(c1c(N(C)C)cccc1N(C)C)(c1cccc(OC(C)C)c1),14.18268
P(c1ccncc1)(c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2cccn2)cc1)(c1ccncc1),26.918722
P(c1ccccc1)(c1ccccc1N(C)C)(c1ccccc1),16.8076
P(c1ccccc1)(c1ccccc1N1CCCCC1)(c1ccccc1),39.204758
P(c1ccccc1)(c1ccc(-c2cc(-c3ccccc3)n(-c3ccccc3)n2)cc1)(c1ccccc1),31.629404
P(c1nn(-c2ccccc2)cc1)(c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2cccn2)cc1)(c1nn(-c2ccccc2)cc1),27.910248
P(c1ccccc1N1CCCCC1)(N1CCCCC1)(c1ccccc1N1CCCCC1),56.1245
P(c1ccccc1)(c1ccc(-c2cc(-c3ccccc3)n(-c3ccccc3)n2)cc1)(c1ccccc1),31.629404
